dcho_id,dcho_keyword,cho_author
135,Edipo|Moreau|Sfinge,"Moreau, Gustave"
139,Eracle|Mantinea|Olio su tela,
142,Anfora|Atena|Cinghiale|Eracle|Erimanto|Euristeo|Figure nere|Iolao,Antimenes Painter
221,Caco|Clava|Eracle|Ercole|Le Moyne,École de Le Moyne François
226,Amore|Bacio|Cupido|Eros|Psiche,"Gérard, François, 1770-1837"
253,Arco|Artemide|Bronzo|Cacciatrice|Diana|Freccia|Houdon,"Houdon, Jean-Antoine"
264,Atena|Eracle|Ercole|Ermes|Minerva|Nettuno|Olimpo|Pittore di Amasis|Poseidone|Presentazione,Amasis Painter
272,Itaca|Massacro|Odisseo|pretendenti|Ritorno|Telemaco,Ixion painter
274,Arianna|Dioniso|Menadi|Pan|Sarcofago|Satiri|Sileni,
279,Afrodite|Alessandro di Antiochia|Marmo|Milo|Prassitele|Venere,
287,Arianna|Creta|Labirinto|Minosse|Minotauro|Teseo,
293,Afrodite|Ares|Artemide|Demetra|Dioscuri|Eros|Gigante|Giganti|Gigantomachia|Kore|Pittore di Suessula,Suessula painter
296,Animali|Cades|Lira|Metamorfosi|Orfeo|Ovidio,"Cades, Giuseppe"
304,Clio|Euterpe|Le Sueur|Manierismo|Muse|Talia,"Le Sueur, Eustache"
308,Danza|Maestro della pittura di Ruvo|Minotauro|Teseo,
317,Ellenismo|Nave|Nike|Samotracia|Vittoria,
337,Clava|Ercole|Esperidi|Fatiche|Glicone di Atene|Lisippo,Glicone di Atene
340,Ariete|Atena|Elmo|Gorgoneion|grifoni|himation|Serpente,
346,Ariete|Bacio|Ciclope|Galatea|Ninfa|Polifemo|Pompei,
351,Achille|Astianatte|Guerra di troia|Neottolemo|Troia|Troilo,
365,Aiace|Cassandra|Guerra di troia|Iliade|Solomon|Troia,"Solomon, J. Solomon"
368,Artemide|Cellini|Diana|Fontana|Ninfe,
370,Bottega Ateniese|Eleusi|Eracle|misteri eleusini,
382,Afrodite|Venere,
386,Andromeda|Manierismo|Perseo|Wtewael,"Wtewael, Joachim"
389,Aquile|Ganimede|Zeus,
392,Afrodite|Cabanel|mare|Venere,"Cabanel, Alexandre"
394,Achille|Bottega Ateniese|Delfi|Ercolano|Oracolo|Pizia|Telefo,
402,Anfitrite|Nereide|Nettuno|Poseidone|Prou|Rocaille,"Prou, Jacques, 1655-1706"
428,Apollo|Febo|Sauroctono,Autore sconosciuto
442,Achille|Connelly|Madre|Teti,"Connelly, Pierce Francis"
450,Artemide|Diana|Erigone|Oreste,
454,Afrodite|Botticelli|Neoplatonismo|Venere,"Botticelli, Sandro"
460,Artemide|Atteone|Cani,
467,Asteas|Cadmo|Dragone|Fonte,Asteas
489,Afrodite|Appiani|Ares|Marte|Neoclassicismo|Venere,"Appiani, Andrea"
493,Atena|Elmo|Eracle|Fatiche di Eracle|Leone di Nemea|Scilla,Sconosciuto.
494,Bellerofonte|Chimera|Pegaso|Pittore di Issione,Ixion painter
499,Eracle|Ercole|Fatiche,
508,cigno|Leda|Thierry|Zeus,"Thierry, Jean"
510,Bambino|Eracle|Ercole|Serpente,
512,Europa|Pompei|Toro|Zeus,
518,Acqua|Bronzo|Danaidi|Danao|Ercolano,Sconosciuto.
521,Accecamento|Aristonothos|Ciclope|Odisseo|Polifemo,Aristonothos
525,Andromeda|Medusa|Mostro marino|Perseo|Pompei|roccia,
526,Apollo|Artemide|Clitennestra|Delfi|Erinni|Oreste|Pittore delle Eumenidi|Purificazione,Eumenides Painter
531,Creta|Labirinto|Minotauro|Pompei|Teseo,
535,Achille|Centauro|Chirone|Educazione|Ercolano|Lira,
538,Alloro|Apollo|Bernini|Dafne|Metamorfosi,"Bernini, Gian Lorenzo"
543,Amore|Canova|Eros|Neoclassicismo|Psiche,"Canova, Antonio"
544,Achille|Armi|Armi di Achille|Efesto|Iliade|Pompei|Teti|Troia,
555,Ade|Bernini|Persefone|Plutone|Proserpina|Rapimento|Ratto|scultura,"Bernini, Gian Lorenzo"
556,Arianna|cammeo|Dioniso|Misteri dionisiaci,
562,Ali|Barocco|Ermes|Mercurio|Pigalle,"Pigalle, Jean-Baptiste"
563,Amorini|Correggio|Danae|Eros|Giove|Pioggia d'oro,Correggio
564,Achille|Agamennone|Artemide|Aulide|Calcante|Diomede|eschilo|Ifigenia|Sacrificio|Ulisse,
568,Argonauti|Corinto|Daga|figlicidio|Giasone|Medea|Pompei|Vendetta,
575,Circe|Dossi,"Dossi, Dosso"
577,Atena|chitone|Elmo|Gorgoneion|himation|Promachos,Sconosciuto.
582,Barocco|Bernini|Gorgoni|Medusa|Metamorfosi|Ovidio,"Bernini, Gian Lorenzo"
587,Amore|Apuleio|Canova|Eros|Metamorfosi|Neoclassicismo|Psiche,"Canova, Antonio"
592,Eos|Kephalos,
595,Amazzoni|Amazzonomachia|Eracle,Sconosciuto.
603,Aglaia|Canova|Cariti|Eufrosine|Grazie|Neoclassicismo|Talia,"Canova, Antonio"
604,Etra|Teseo,Sconosciuto.
608,Arianna|Bacco|Dioniso|Tiziano|trionfo,Tiziano
615,Egeo|Etra|Medea|Minotauro|Teseo,Autore sconosciuto
617,Ninfa|Pan|Siringa|Van Balen,"Van Balen, Hendrick"
622,Canova|Coppa|Coppiera|Ebe|Neoclassicismo,"Canova, Antonio"
624,Creta|Labirinto|Minotauro|Pittore di Kleophrades|Teseo,Kleophrades Painter
627,Maratona|Pittore di Kleophrades|Teseo|Toro,Kleophrades Painter
631,Kleophrades|Megara|Pittore di Kleophrades|Skyron|Teseo,Kleophrades Painter
634,Kerkyon|Pittore di Kleophrades|Prokustes|Teseo,Kleophrades Painter
643,Afrodite|Cupido|Eros|specchio|Velazquez|Venere,"Velázquez, Diego"
644,Eros|Europa|Toro|Zeus,
648,Calliroe|Ninfe|Oceanine|Oro|Sardonica,
651,Amico|Argonauti|Atena|Dioniso|Dioscuri|Eracle|Eros|Giasone|Novios Plautios|Polluce|Satiri|vello d'oro,Novios Plautios
660,Anfitrite|Busto|Denario|nereidi,
664,Afrodite|Ares|Botticelli|Marte|Satiri|Venere,"Botticelli, Sandro"
668,Ermes|Eufronio|Hypnos|Iliade|Patroclo|Sarpedonte|Thànatos|Troia,Euphronios
678,Afrodite|Aquila|Giove|Venere|Zeus,Sconosciuto.
679,Argonauti|Bartolomeo di Giovanni|Colchide|Giasone,"Di Giovanni, Bartolomeo"
684,Atena|Elmo|Ermes|lancia|Mercurio|scudo,"Goltzius, Hendrick"
685,Dioniso|Pantera,
688,Argonauti|Colchide|Detroy|Giasone|Giuramento|Medea,"Troy, Jean-François de"
691,Arianna|Ercolano|Nasso|Nave|Teseo,
695,Amigoni|Callisto|Giove|Zeus,"Amigoni, Jacopo"
699,Amazzoni|Amazzonomachia|Greci,
706,Afrodite|cigno|Eroti|Figure rosse|pelike|Venere,Sconosciuto.
719,Era|Eros|Giove|Giunone|Inganno|Io|Lastman|Zeus,"Lastman, Pieter"
727,Atene|Centauri|Centauromachia|Fidia|Lapiti|Metope|Partenone|Piritoo,Fidia
738,Amazzoni|Amazzonomachia|Atena|Atene|Fidia|Gorgone|Greci|Partenone|scudo,Autore sconosciuto
744,Andromeda|Perseo|Sacrificio,
745,Didone|Enea|Eneide|Giunone|Maratta|Paesaggio|putti|Venere,"Dughet, Gaspard; Maratta, Carlo"
748,Apollo|Moneta|Moneta d'oro|Oro,Artista greco sconosciuto.
750,Andromeda|Doré|Mostro marino|roccia|Sacrificio,"Doré, Gustave"
755,Argonauti|Donzello|Giasone,"Donzello, Pietro"
757,cammeo|Cinghiale|Cinghiale d'Erimanto|Eracle|Fatiche,
759,Delacroix|figlicidio|Medea|Neoclassicismo,"Delacroix, Eugène"
762,Elena|Maestro del Giudizio di Paride|Paride|Rapimento,
